ticker,previous_date,api_observed_date,previous_event_type,api_event_type,disposition,resolution_basis
اردستان,1400-03-17,1401-10-28,tsetmc_candidate_audit_only,first_observed_trading_date_from_official_tse_api,unresolved_prior_research_differs_from_api_first_observed_trade,prior=1400-03-17 (tsetmc_candidate_audit_only) from listing_pilot15_user_confirmed_stage124.csv (tsetmc_candidate_date_jalali); api=1401-10-28 (first_observed_trading_date_from_official_tse_api)
اروند,1399-12-25,1404-10-01,tsetmc_candidate_audit_only,first_observed_trading_date_from_official_tse_api,unresolved_prior_research_differs_from_api_first_observed_trade,prior=1399-12-25 (tsetmc_candidate_audit_only) from listing_pilot15_user_confirmed_stage124.csv (tsetmc_candidate_date_jalali); api=1404-10-01 (first_observed_trading_date_from_official_tse_api)
اپال,1399-07-15,1399-12-06,tsetmc_candidate_audit_only,first_observed_trading_date_from_official_tse_api,unresolved_prior_research_differs_from_api_first_observed_trade,prior=1399-07-15 (tsetmc_candidate_audit_only) from listing_pilot15_user_confirmed_stage124.csv (tsetmc_candidate_date_jalali); api=1399-12-06 (first_observed_trading_date_from_official_tse_api)
جم پیلن,1397-12-28,1398-03-27,tsetmc_candidate_audit_only,first_observed_trading_date_from_official_tse_api,unresolved_prior_research_differs_from_api_first_observed_trade,prior=1397-12-28 (tsetmc_candidate_audit_only) from listing_pilot15_user_confirmed_stage124.csv (tsetmc_candidate_date_jalali); api=1398-03-27 (first_observed_trading_date_from_official_tse_api)
حکشتی,1387-02-28,1387-02-29,news_website_contemporaneous,first_observed_trading_date_from_official_tse_api,unresolved_one_day_gap_ipo_news_vs_api_first_observed_trade,Part02 manual research documented contemporaneous IPO/listing news on 1387-02-28 (همشهری آنلاین) while the official TSE API first observed trade date is 1387-02-29; one-day gap retained for manual review.
سآبیک,1391-06-27,1401-02-28,tsetmc_candidate_audit_only,first_observed_trading_date_from_official_tse_api,unresolved_prior_research_differs_from_api_first_observed_trade,prior=1391-06-27 (tsetmc_candidate_audit_only) from listing_pilot15_user_confirmed_stage124.csv (tsetmc_candidate_date_jalali); api=1401-02-28 (first_observed_trading_date_from_official_tse_api)
سپید,1399-07-05,1400-04-23,tsetmc_candidate_audit_only,first_observed_trading_date_from_official_tse_api,unresolved_prior_research_differs_from_api_first_observed_trade,prior=1399-07-05 (tsetmc_candidate_audit_only) from listing_pilot15_user_confirmed_stage124.csv (tsetmc_candidate_date_jalali); api=1400-04-23 (first_observed_trading_date_from_official_tse_api)
وکغدیر,1400-09-21,1401-12-23,tsetmc_candidate_audit_only,first_observed_trading_date_from_official_tse_api,unresolved_prior_research_differs_from_api_first_observed_trade,prior=1400-09-21 (tsetmc_candidate_audit_only) from listing_pilot15_user_confirmed_stage124.csv (tsetmc_candidate_date_jalali); api=1401-12-23 (first_observed_trading_date_from_official_tse_api)
پارس,1397-04-16,1397-04-20,tsetmc_candidate_audit_only,first_observed_trading_date_from_official_tse_api,unresolved_prior_research_differs_from_api_first_observed_trade,prior=1397-04-16 (tsetmc_candidate_audit_only) from listing_pilot15_user_confirmed_stage124.csv (tsetmc_candidate_date_jalali); api=1397-04-20 (first_observed_trading_date_from_official_tse_api)
پرداخت,1395-12-22,1396-04-27,tsetmc_candidate_audit_only,first_observed_trading_date_from_official_tse_api,unresolved_prior_research_differs_from_api_first_observed_trade,prior=1395-12-22 (tsetmc_candidate_audit_only) from listing_pilot15_user_confirmed_stage124.csv (tsetmc_candidate_date_jalali); api=1396-04-27 (first_observed_trading_date_from_official_tse_api)
پی پاد,1401-05-11,1402-01-16,tsetmc_candidate_audit_only,first_observed_trading_date_from_official_tse_api,unresolved_prior_research_differs_from_api_first_observed_trade,prior=1401-05-11 (tsetmc_candidate_audit_only) from listing_pilot15_user_confirmed_stage124.csv (tsetmc_candidate_date_jalali); api=1402-01-16 (first_observed_trading_date_from_official_tse_api)
کاوه,1393-06-30,1396-07-26,tsetmc_candidate_audit_only,first_observed_trading_date_from_official_tse_api,unresolved_prior_research_differs_from_api_first_observed_trade,prior=1393-06-30 (tsetmc_candidate_audit_only) from listing_pilot15_user_confirmed_stage124.csv (tsetmc_candidate_date_jalali); api=1396-07-26 (first_observed_trading_date_from_official_tse_api)
کویر,1398-07-02,1398-07-17,tsetmc_candidate_audit_only,first_observed_trading_date_from_official_tse_api,unresolved_prior_research_differs_from_api_first_observed_trade,prior=1398-07-02 (tsetmc_candidate_audit_only) from listing_pilot15_user_confirmed_stage124.csv (tsetmc_candidate_date_jalali); api=1398-07-17 (first_observed_trading_date_from_official_tse_api)
کیمیاتک,1399-11-28,1400-06-17,tsetmc_candidate_audit_only,first_observed_trading_date_from_official_tse_api,unresolved_prior_research_differs_from_api_first_observed_trade,prior=1399-11-28 (tsetmc_candidate_audit_only) from listing_pilot15_user_confirmed_stage124.csv (tsetmc_candidate_date_jalali); api=1400-06-17 (first_observed_trading_date_from_official_tse_api)
