feature_name,source_column,development_rows,nonmissing_rows,coverage,positive_row_coverage,negative_row_coverage,fold1_train_rows,fold1_train_nonmissing,fold1_train_coverage,fold1_validation_rows,fold1_validation_nonmissing,fold1_validation_coverage,fold2_train_rows,fold2_train_nonmissing,fold2_train_coverage,fold2_validation_rows,fold2_validation_nonmissing,fold2_validation_coverage,minimum_fold_training_coverage,minimum_fold_validation_coverage,admission_status
log_total_assets,total_assets,666,666,1.0000000000,1.0000000000,1.0000000000,245,245,1.0000000000,205,205,1.0000000000,450,450,1.0000000000,216,216,1.0000000000,1.0000000000,1.0000000000,admitted_m1_primary
leverage_ratio,leverage_ratio,666,666,1.0000000000,1.0000000000,1.0000000000,245,245,1.0000000000,205,205,1.0000000000,450,450,1.0000000000,216,216,1.0000000000,1.0000000000,1.0000000000,admitted_m1_primary
current_ratio,current_ratio,666,666,1.0000000000,1.0000000000,1.0000000000,245,245,1.0000000000,205,205,1.0000000000,450,450,1.0000000000,216,216,1.0000000000,1.0000000000,1.0000000000,admitted_m1_primary
roa_period_adjusted,roa_period_adjusted,666,666,1.0000000000,1.0000000000,1.0000000000,245,245,1.0000000000,205,205,1.0000000000,450,450,1.0000000000,216,216,1.0000000000,1.0000000000,1.0000000000,admitted_m1_primary
ocf_to_assets_period_adjusted,ocf_to_assets_period_adjusted,666,647,0.9714714715,0.9411764706,0.9749163880,245,226,0.9224489796,205,205,1.0000000000,450,431,0.9577777778,216,216,1.0000000000,0.9224489796,1.0000000000,admitted_m1_primary
asset_turnover_period_adjusted,asset_turnover_period_adjusted,666,666,1.0000000000,1.0000000000,1.0000000000,245,245,1.0000000000,205,205,1.0000000000,450,450,1.0000000000,216,216,1.0000000000,1.0000000000,1.0000000000,admitted_m1_primary
operating_margin_period_adjusted,operating_margin_period_adjusted,666,662,0.9939939940,1.0000000000,0.9933110368,245,245,1.0000000000,205,203,0.9902439024,450,448,0.9955555556,216,214,0.9907407407,0.9955555556,0.9902439024,admitted_m1_primary
revenue_growth_period_adjusted,revenue_growth_period_adjusted,666,565,0.8483483483,0.8235294118,0.8511705686,245,148,0.6040816327,205,203,0.9902439024,450,351,0.7800000000,216,214,0.9907407407,0.6040816327,0.9902439024,rejected_m1_primary_coverage_gate_failed
financial_expense_to_assets_period_adjusted,financial_expense_to_assets_period_adjusted,666,665,0.9984984985,1.0000000000,0.9983277592,245,245,1.0000000000,205,205,1.0000000000,450,450,1.0000000000,216,215,0.9953703704,1.0000000000,0.9953703704,admitted_m1_primary
accumulated_loss_to_capital_ratio,accumulated_loss_to_capital_ratio,666,666,1.0000000000,1.0000000000,1.0000000000,245,245,1.0000000000,205,205,1.0000000000,450,450,1.0000000000,216,216,1.0000000000,1.0000000000,1.0000000000,admitted_m1_primary
